// Compost colors for confluence. You may add your own colors, change existing ones, or remove colors that aren't needed.
abeemination, #eb9325
adamantite_ingot, #b2195a
adhesive_bandage, #f0b68e
advanced_combat_techniques, #c6766f
advanced_combat_techniques_volume_two, #a47cd0
aegis_apple, #4778be
aetherium_gold, #e4964d
aetherium_shard, #f0b4ff
ale, #ffffaa
amanita_fungifin, #96aac8
amber, #ff9e15
amber_chain, #ae3704
amber_hook, #72290f
amber_minecart, #9d3a0b
amber_robe, #a53904
amber_sapling, #d4ab6c
amber_staff, #7a482a
ambrosia, #e4bbd4
amethyst, #b243f2
amethyst_chain, #8216d0
amethyst_hook, #4d197d
amethyst_minecart, #8c2fc8
amethyst_robe, #ae3ced
amethyst_sapling, #ab6cd4
amethyst_staff, #582540
ammo_reservation_potion, #aa9376
angel_wings, #ffffff
angelfish, #9ba16c
angler_hat, #ae9d87
angler_pants, #374757
angler_tackle_bag, #656f65
angler_vest, #405154
announcement_box, #ffffff
anti_gravity_hook, #79bd4
antlion_mandible, #b9805e
apple_juice, #eec8c3
apple_pie, #dc8978
apprentice_bait, #aa7c46
apprentices_scarf, #870a0e
apricot, #d66b51
aqua_scepter, #544e4a
arcane_crystal, #472997
arcane_flower, #6c9b87
archery_potion, #a5663c
argon_moss_fishing_bobber, #cc4396
armor_bracing, #80767f
armor_icon, #6f7098
armor_polish, #a4aabe
armored_cave_fish, #ac50a1
artisan_loaf, #d6792f
ash_boat, #7d666f
ash_boots, #735a70
ash_chest_boat, #836657
ash_chestplate, #83687d
ash_door, #766479
ash_grass, #f88066
ash_grass_seed, #e07625
ash_hanging_sign, #877689
ash_helmet, #644d61
ash_leggings, #725c72
ash_sapling, #b9837c
ash_sign, #876e80
ash_wood_bow, #70556c
ash_wood_hammer, #83687f
ash_wood_short_bow, #765b72
ash_wood_sword, #6e576b
atlantic_cod, #5c89a2
bacon, #d46e52
banana, #da9423
banana_split, #d3c0cd
band_of_starpower, #233080
baobab_boat, #e3bf8e
baobab_chest_boat, #bf9d68
baobab_door, #ffffc6
baobab_fruit, #864733
baobab_hanging_sign, #fce1b6
baobab_sapling, #84aa64
baobab_sign, #ffe3b2
bat_hook, #302830
batfish, #296596
bbq_ribs, #d25e3c
bee_boots, #9b4e14
bee_chestplate, #9e5c12
bee_helmet, #965b14
bee_leggings, #aa5f15
bee_minecart, #845830
bee_wings, #d7d9c9
beenade, #7f5446
beetle_minecart, #706268
binoculars, #7d735c
black_dragonfly, #69729d
black_ink, #332d37
black_lens, #3e3232
black_pearl, #645172
black_scorpion, #5f5168
blackcurrant, #463d68
blinkroot, #a49d4a
blinkroot_seed, #6f5044
blocks_icon, #6e7072
blood_clot_powder, #9e4b4b
blood_orange, #fa474d
blood_water, #b25c5a
bloodstained_powder, #9e4b4b
bloody_manowar, #ca515a
bloody_moscato, #bb9aae
bloody_piranhas, #a04e41
bloody_spine, #ab6261
blue_dragonfly, #688ed3
blue_jellyfish, #5c7ad0
blue_wrench, #474d6f
bomb, #333343
bomb_fish, #51486c
bone_arrow, #6b684b
bone_chain, #b6b493
bone_pickaxe, #50434e
bone_throwing_knife, #80654b
bonefish, #656455
boredoms_pact_falling_resolve, #5f3940
bottle, #e4fbff
bottled_water, #78c3ff
bottomless_honey_bucket, #b58c69
bottomless_lava_bucket, #d08d6e
bottomless_shimmer_bucket, #bb7d7f
bottomless_water_bucket, #6473b9
bouncy_bomb, #96345b
bouncy_dynamite, #a85255
bouncy_grenade, #803c5c
bowl_of_soup, #a87222
brain_of_cthulhu_treasure_bag, #e38987
breathing_reed, #4a5b41
broken_sweet_sword, #a04b3e
bug_net, #2d2a32
buggy, #5b3a41
builder_potion, #907568
bumblebee_tuna, #948c46
bunny_stew, #beb4b2
bunnyfish, #dddcda
burger, #e0945b
cactus_boots, #5b842a
cactus_chestplate, #5c872d
cactus_helmet, #577d2d
cactus_leggings, #527629
cactus_pickaxe, #657028
cactus_sword, #769e39
can_of_worms, #867579
candy_apple, #da322f
candy_cane, #c55050
candy_cane_hook, #9b646e
candy_cane_pickaxe, #785758
cap_tunabeard, #7f7a73
carton_of_milk, #76a0ea
catfish, #8991a4
cattails, #655546
cavern_pylon, #917da0
celestial_cuffs, #20709b
celestial_emblem, #944848
celestial_magnet, #48a5e7
chaos_fish, #660a9a
chaos_potion, #706875
charm_of_myths, #872855
cherry, #69475b
chicken_nugget, #ffa44a
china_bowl, #d0eeee
china_plate, #dceded
chlorophyte_ingot, #65b23a
chocolate_chip_cookie, #bf6e32
christmas_gift, #82465e
christmas_hook, #836137
christmas_pudding, #987f4d
chromatic_cloak, #b27389
chum_caster, #8e4a41
clam, #984b3d
clothier_voodoo_doll, #8c545c
cloud_bread, #fe9ba0
cloud_dough, #9dcff2
cloudfish, #ffffff
cloudweaver_seed, #b9d3de
clownfish, #fc8e54
cobalt_ingot, #1873b5
coconut, #97644d
coffee, #a1b4c9
coffin_minecart, #685e55
coin_ring, #90876c
cold_crystal, #446f78
cold_crystal_boots, #627fb9
cold_crystal_chestplate, #6687a5
cold_crystal_helmet, #4e699e
cold_crystal_leggings, #6c8dbe
colorful_mineral_fish, #342a66
cook_fish, #9e8d79
cooked_baobab_fruit, #c07543
cooked_bird, #f09b6c
cooked_duck, #eb9a6b
cooked_fluttering_lamb_chops, #cf7547
cooked_frog, #e38e5e
cooked_marshmallow, #875c48
cooked_shrimp, #cc7a6c
cooked_squirrel, #e89769
copper_axe, #90511f
copper_boots, #9e4d2d
copper_bow, #62361c
copper_broadsword, #ab5820
copper_chestplate, #af572a
copper_coin, #be662f
copper_hammer, #ac6126
copper_helmet, #844126
copper_hoe, #6b4120
copper_leggings, #a14b28
copper_pickaxe, #8a4e23
copper_short_bow, #573423
copper_short_sword, #a45823
copper_shovel, #864a29
corrupt_drooping_vine, #643d69
corrupt_grass, #684776
corrupt_seed, #5f416c
corruption_key, #552a8a
countercurse_mantra, #918c94
crate_potion, #7a5243
cream_soda, #d4b891
crimson_boots, #391e1e
crimson_cattails, #f5beb2
crimson_chestplate, #5b302f
crimson_drooping_vine, #904040
crimson_grass, #a53e39
crimson_heart, #cc4d5f
crimson_helmet, #4e2828
crimson_key, #9b484a
crimson_leggings, #3d2222
crimson_seed, #aa413c
crimtane_ingot, #a55557
crystal_shards, #bebeff
cultivator, #5b2c2d
cursed_flame, #ffff5b
cursedfish, #58ff0a
daedalus_storm_bow, #beafeb
damsel_fish, #508cda
dangersense_potion, #bc6629
daybloom, #b5e84b
daybloom_seed, #2d2d30
dead_mans_seater, #a24151
