// Compost colors for creatingspace. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_spacesuit_boots, #a06e33
advanced_spacesuit_fabric, #cdd3e3
advanced_spacesuit_helmet, #a89644
advanced_spacesuit_leggings, #98733a
aerospike_plug, #202328
aluminum_ingot, #ffffff
aluminum_nugget, #dcd9dc
aluminum_sheet, #ffffff
andesite_blisk, #b6bfb8
andesite_engine_wall, #b5c2b9
andesite_injector, #8c9497
andesite_injector_grid, #9ea7a1
andesite_rib, #cdd9d2
andesite_turbine, #b1b9b2
andesite_turbine_shaft, #69706e
basic_catalyst, #949796
basic_spacesuit_boots, #75504b
basic_spacesuit_fabric, #e7cdcf
basic_spacesuit_helmet, #bc968c
basic_spacesuit_leggings, #905f5a
bell_nozzle, #363c43
brass_blisk, #ffd782
brass_engine_wall, #ffc67d
brass_injector, #c29675
brass_injector_grid, #da986b
brass_rib, #ffcf7c
brass_turbine, #e4a164
brass_turbine_shaft, #e3945c
coal_dust, #151515
cobalt_ingot, #4bb9fe
cobalt_nugget, #4b97de
cobalt_sheet, #4ecfff
combustion_chamber, #343a40
copper_blisk, #ffb483
copper_coil, #ca978e
copper_engine_wall, #ffac7a
copper_injector, #d29379
copper_injector_grid, #e3866c
copper_rib, #fc9470
copper_turbine, #ff9670
copper_turbine_shaft, #e47550
copronickel_blisk, #ff8a28
copronickel_engine_wall, #ffbe4e
copronickel_ingot, #ffd06c
copronickel_injector, #e39661
copronickel_injector_grid, #ffa42a
copronickel_nugget, #ff9726
copronickel_rib, #ff9e29
copronickel_sheet, #ffbc58
copronickel_turbine, #ffaf36
copronickel_turbine_shaft, #ff9834
crushed_cobalt_ore, #4797e0
engine_blueprint, #9ebfff
hastelloy_blisk, #a79dc0
hastelloy_engine_wall, #c0b6cc
hastelloy_ingot, #aca4bb
hastelloy_injector, #9491a7
hastelloy_injector_grid, #9691aa
hastelloy_nugget, #9894ab
hastelloy_rib, #cab9de
hastelloy_sheet, #bcb4c8
hastelloy_turbine, #b5aac8
hastelloy_turbine_shaft, #65667a
incomplete_aerospike_plug, #202328
incomplete_andesite_injector, #7c8489
incomplete_andesite_injector_grid, #787f7a
incomplete_andesite_turbine, #a5aca7
incomplete_bell_nozzle, #363c43
incomplete_brass_injector, #af8368
incomplete_brass_injector_grid, #bb795c
incomplete_brass_turbine, #d6915b
incomplete_combustion_chamber, #343a40
incomplete_copper_injector, #c38472
incomplete_copper_injector_grid, #f19672
incomplete_copper_turbine, #fa916f
incomplete_copronickel_injector, #d28451
incomplete_copronickel_injector_grid, #ff8922
incomplete_copronickel_turbine, #ffaa2f
incomplete_hastelloy_injector, #868398
incomplete_hastelloy_injector_grid, #79798a
incomplete_hastelloy_turbine, #a49bb8
incomplete_inconel_injector, #838e93
incomplete_inconel_injector_grid, #84948e
incomplete_inconel_turbine, #a0b1ac
incomplete_iron_injector, #8a8c94
incomplete_iron_injector_grid, #7d7d7d
incomplete_iron_turbine, #ababab
incomplete_monel_injector, #948476
incomplete_monel_injector_grid, #988061
incomplete_monel_turbine, #d3b183
incomplete_reinforced_copper_injector, #bb908a
incomplete_reinforced_copper_injector_grid, #eea897
incomplete_reinforced_copper_turbine, #ffd6a5
inconel_blisk, #9eb1ac
inconel_engine_wall, #aebfb9
inconel_ingot, #98aba5
inconel_injector, #8d989d
inconel_injector_grid, #9baca7
inconel_nugget, #97a8a2
inconel_rib, #b9c9c5
inconel_sheet, #9eafab
inconel_turbine, #acbeb9
inconel_turbine_shaft, #73827d
injector, #af9886
injector_grid, #c89b8a
iron_blisk, #ffffff
iron_engine_wall, #c0c0c0
iron_injector, #9a9ba4
iron_injector_grid, #a4a4a4
iron_rib, #c3c3c3
iron_turbine, #b6b6b6
iron_turbine_shaft, #6e6e6e
large_nickel_sulfate_bud, #80d3ff
medium_nickel_sulfate_bud, #79ccff
monel_blisk, #f0ca98
monel_engine_wall, #d7be9d
monel_ingot, #cdb491
monel_injector, #a89684
monel_injector_grid, #c2a47a
monel_nugget, #cdaf89
monel_rib, #ebc593
monel_sheet, #d0b694
monel_turbine, #c6a172
monel_turbine_shaft, #836848
nickel_dust, #82867d
nickel_ingot, #b5b5a0
nickel_nugget, #b2b8a7
nickel_sheet, #afb5a5
nickel_sulfate_catalyst, #73c8ff
nickel_sulfate_cluster, #80d4ff
nickel_sulfate_shard, #66c3f4
raw_aluminum, #f2eef2
raw_cobalt, #4b96d7
raw_nickel, #cdd4c2
reinforced_copper_blisk, #f5a290
reinforced_copper_engine_wall, #ffe3ae
reinforced_copper_ingot, #ffe1c6
reinforced_copper_injector, #c69e90
reinforced_copper_injector_grid, #ffd9ae
reinforced_copper_nugget, #e6b19b
reinforced_copper_rib, #eabc9e
reinforced_copper_sheet, #ffdebe
reinforced_copper_turbine, #ffd7a1
reinforced_copper_turbine_shaft, #ffdcb9
reinforced_injector, #8d9db9
reinforced_injector_grid, #9aa2c3
small_nickel_sulfate_bud, #47b2eb
space_food, #b8c0d9
sturdy_propeller, #66687d
