// Compost colors for scp_ultimate. You may add your own colors, change existing ones, or remove colors that aren't needed.
aditem_1, #7a0000
aditem_2, #68b429
ammo_1, #f2d989
armored_heavy_sliding_door_double_new_1, #545048
armored_heavy_sliding_door_double_new_2, #545048
armored_heavy_sliding_door_double_new_3, #545048
armored_heavy_sliding_door_double_new_4, #545048
armored_sliding_door_double_item, #545048
armored_sliding_door_item, #413c36
armored_sliding_door_new_1, #413c36
armored_sliding_door_new_2, #413c36
armored_sliding_door_new_3, #413c36
armored_sliding_door_new_4, #413c36
camera, #fbf8f8
class_d_uniform_armor_boots, #363636
class_d_uniform_armor_chestplate, #f59829
class_d_uniform_armor_leggings, #ff9e28
cup, #ffffff
drink_1, #ffffff
drink_10, #ffffff
drink_11, #ffffff
drink_12, #ffffff
drink_13, #ffffff
drink_14, #ffffff
drink_15, #ffffff
drink_16, #ffffff
drink_17, #ffffff
drink_18, #ffffff
drink_19, #ffffff
drink_2, #ffffff
drink_20, #ffffff
drink_21, #ffffff
drink_22, #ffffff
drink_23, #ffffff
drink_3, #ffffff
drink_4, #ffffff
drink_5, #ffffff
drink_6, #ffffff
drink_7, #ffffff
drink_8, #ffffff
drink_9, #ffffff
empty_syringe, #fefefe
fan_1, #948980
fan_1off, #948980
fence_none, #404040
fine_syringe, #688eab
floor_lamp_item, #9b945e
gasmask_helmet, #474d4e
gear, #8a8273
heavy_door_double_item, #827575
heavy_door_item, #706464
heavy_sliding_door_double_new_1, #827575
heavy_sliding_door_double_new_2, #827575
heavy_sliding_door_double_new_3, #827575
heavy_sliding_door_double_new_4, #827575
heavy_sliding_door_new_1, #706464
heavy_sliding_door_new_2, #706464
heavy_sliding_door_new_3, #706464
heavy_sliding_door_new_4, #706464
lamp_1, #f1edbc
lamp_11, #96968d
lamp_111, #ede8b9
lamp_2, #f1edbc
lamp_22, #96968d
lamp_222, #ede8b9
lamp_4, #d4d3c2
lamp_44, #d4d3c2
level_1_keycard, #ffffd3
level_2_keycard, #ffffd3
level_3_keycard, #ffffd3
level_4_keycard, #fffed3
level_5_keycard, #ffd7d3
locker_1, #696969
locker_2, #696969
microchip, #83b55f
music_disc_1, #5e4743
nightvisiongoggles_helmet, #293326
omni_keycard, #a1a2ff
orderer, #f0cab9
p_90, #4a4744
playing_card, #fff5f2
rat_tail, #a17f87
rusty_iron_door, #cabcaa
sco_035spawner, #e6dad4
scp_002_poster, #f0ea96
scp_002fragment, #c0aaaa
scp_002spawn, #e7e1d6
scp_005, #624814
scp_005frgament, #726550
scp_005poster, #a0ca96
scp_005spawn, #e0e1d6
scp_006fragment, #75d09e
scp_006poster, #a0ca96
scp_006spawn, #e0e1d6
scp_008, #69645a
scp_008_syringe, #797979
scp_008fragment, #7c645e
scp_008off, #69645a
scp_008poster, #f0ea96
scp_008spawn, #e7e1d6
scp_009fragment, #ff1843
scp_009poster, #f0ea96
scp_009spawn, #e7e1d6
scp_015_poster, #f0ea96
scp_015fragment, #8d8d8d
scp_015spawn, #e7e1d6
scp_019, #524737
scp_019_poster, #e78e8e
scp_019fragment, #765b54
scp_019spawner, #e6dad4
scp_023fragment, #393d4a
scp_023poster, #f0ea96
scp_023spawn, #e7e1d6
scp_027fragment, #908984
scp_027poster, #f0ea96
scp_027spawn, #e7e1d6
scp_035_helmet, #e0e0e0
scp_035_poster, #e78e8e
scp_035fragment, #9a7a7a
scp_049_poster, #f0ea96
scp_049fragment, #a8a8a8
scp_049spawner, #e7e1d6
scp_053fragment, #f0e8ca
scp_053poster, #f0ea96
scp_053spawn, #e7e1d6
scp_058fragment, #6b4a4a
scp_058poster, #e78e8e
scp_058spawn, #e6dad4
scp_063, #6ef7ff
scp_063frgament, #98b4be
scp_063poster, #a0ca96
scp_063spawn, #e0e1d6
scp_066fragment, #bb4d4d
scp_066poster, #f0ea96
scp_066spawn, #e7e1d6
scp_073fragment, #a19b93
scp_073poster, #f0ea96
scp_073spawn, #e7e1d6
scp_076_sword, #2d2d2d
scp_076fragment, #5f4d4a
scp_076poster, #e78e8e
scp_076spawn, #e6dad4
scp_079fragment, #87a57c
scp_079poster, #f0ea96
scp_079spawn, #e7e1d6
scp_080fragment, #232323
scp_080poster, #f0ea96
scp_080spawn, #e7e1d6
scp_087_poster, #f0ea96
scp_087fragment, #474747
scp_087spawn, #e7e1d6
scp_093, #af0000
scp_093fragment, #faebb5
scp_093poster, #f0ea96
scp_093spawn, #e7e1d6
scp_096_poster, #f0ea96
scp_096fragment, #c3bbab
scp_096spawn, #e7e1d6
scp_098fragment, #d0908a
scp_098poster, #a0ca96
scp_098spawn, #e0e1d6
scp_1000fragment, #474039
scp_1000poster, #e78e8e
scp_1000spawn, #e6dad4
scp_100fragment, #d9cdca
scp_100poster, #f0ea96
scp_100spawn, #e7e1d6
scp_1023_arc, #dce6de
scp_1025, #4e4d47
scp_1025fragment, #736f65
scp_1025poster, #a0ca96
scp_1025spawn, #e0e1d6
scp_1032, #ff433a
scp_1032fragment, #f28773
scp_1032frspawn, #e0e1d6
scp_1032poster, #a0ca96
scp_1048fragment, #b49e91
scp_1048poster, #e78e8e
scp_1048spawn, #e6dad4
scp_106_poster, #e78e8e
scp_106fragment, #34433d
scp_106spawn, #e6dad4
scp_109, #cabb89
scp_109fragment, #aea890
scp_109poster, #f0ea96
scp_109spawn, #e7e1d6
scp_111egg, #ffffff
scp_111fragment, #83abab
scp_111poster, #a0ca96
scp_111spawn, #e0e1d6
scp_122, #64d6ed
scp_122fragment, #73d0e4
scp_122poster, #98a4de
scp_122spawn, #e0dddc
scp_124fragment, #b8af8d
scp_124poster, #f0ea96
scp_124spawn, #e7e1d6
scp_127, #333030
scp_127fragment, #c2acae
scp_127poster, #a0ca96
scp_127spawn, #e0e1d6
scp_131fragment, #e8b6b5
scp_131poster, #a0ca96
scp_131spawn, #e0e1d6
scp_1437fragment, #706b4e
scp_1437spawn, #e0e1d6
scp_143_poster, #f0ea96
scp_143_sapling, #c2769b
scp_143_tools_axe, #fafafa
scp_143_tools_hoe, #ffffff
scp_143_tools_pickaxe, #eeeeee
scp_143_tools_shovel, #ffffff
scp_143_tools_sword, #515151
scp_143fragment, #af8298
scp_143spawner, #e7e1d6
scp_1440fragment, #6f6b68
scp_1440poster, #e78e8e
scp_1440spawn, #e6dad4
scp_148_gear_armor_boots, #ffffff
scp_148_gear_armor_chestplate, #ccfff0
scp_148_gear_armor_helmet, #ffffff
scp_148_gear_armor_leggings, #eeffff
scp_148_ingot, #94f1da
scp_148_raw, #e8ffff
scp_148fragment, #559d8d
